Latitude,Longitude,DBSCAN,HDBSCAN,HDBSCAN_KNN,kmeans
1.34841689796893,103.849077333761,0,18,18,22
1.37697398175331,103.739293156619,-1,2,2,16
1.32099294220652,103.870389998344,-1,-1,17,10
1.35730113647079,103.94590547598301,1,7,7,5
1.36271541988053,103.854644986527,3,11,11,0
1.3314336802642,103.936865404278,2,8,8,8
1.37040712097271,103.847230717119,3,11,11,0
1.3337942257363,103.73969084738701,4,6,6,26
1.35292162070653,103.953858337259,1,7,7,5
1.3194327455709498,103.86109100677601,5,-1,17,10
1.28895619990228,103.846796243026,6,25,25,13
1.35035198508252,103.868996990604,16,9,9,21
1.36389570157548,103.848986957428,3,11,11,0
1.29918373808485,103.847789785765,6,-1,23,27
1.30289720538929,103.840025090828,6,22,22,4
1.3014033218603998,103.83732812341499,6,22,22,4
1.3531499001903102,103.943744757637,1,7,7,5
1.30173721675889,103.906754510468,7,12,12,2
1.4416619845891598,103.78993000961,-1,0,0,17
1.4371305244487,103.795289911954,-1,0,0,17
1.29952903435203,103.84011256917,6,22,22,4
1.43106395485682,103.79045407875601,-1,0,0,17
1.3414989747970902,103.837774442377,-1,-1,19,22
1.30313758150049,103.823907153629,-1,-1,22,4
1.3134480090291,103.765483715647,8,4,4,12
1.3253616524781298,103.84147503906901,9,-1,16,22
1.32042967079121,103.843892122244,9,16,16,10
1.29115683869181,103.851044280765,6,-1,25,13
1.27742654288698,103.840001188095,6,25,25,13
1.32210979381603,103.844317495607,9,16,16,10
1.36243186402479,103.851030689651,3,11,11,0
1.30811886342473,103.78604938464599,-1,10,10,29
1.29813214766935,103.84413837480899,6,-1,22,4
1.36785888260943,103.856047007924,3,11,11,0
1.3731106300980702,103.885636629182,10,9,9,6
1.30540799634701,103.835473484406,6,22,22,4
1.3155535427795,103.76459643930401,8,4,4,12
1.32477207441096,103.929267654625,2,8,8,8
1.38493874036125,103.745022476677,29,2,2,16
1.32856421177175,103.930036524233,2,8,8,8
1.282933837115,103.628895042891,-1,-1,5,11
1.3522623142531698,103.953586491358,1,7,7,5
1.3200340349286,103.84482596074301,9,-1,16,10
1.303710847379,103.83526664484002,6,22,22,4
1.31817642675039,103.86140379515899,5,-1,17,10
1.32885089270319,103.86918468022101,20,-1,17,10
1.28198401796352,103.80305297171302,-1,-1,15,9
1.28569742883227,103.826785448095,11,20,20,9
1.36776095130956,103.85535714590799,3,11,11,0
1.3477169747722098,103.742831711054,4,6,6,1
1.3235406599915602,103.885851746701,12,14,14,18
1.32043932800487,103.934781862165,2,8,8,8
1.35057698710493,103.72324111588699,17,6,6,26
1.33550840671606,103.856434376839,13,19,19,22
1.28692006229633,103.81867359223499,14,21,21,9
1.35670606456444,103.933499178921,-1,7,7,5
1.33501332563653,103.851778402294,13,19,19,22
1.32328917067448,103.85573555784201,5,-1,17,10
1.32406395292223,103.940749090839,-1,8,8,8
1.3689328868380002,103.957951722747,-1,7,7,19
1.32770471680567,103.903826117652,28,-1,13,2
1.3329654973593998,103.847050346651,13,19,19,22
1.3530382488288502,103.743948447541,4,6,6,1
1.32499379353325,103.941082588009,-1,8,8,8
1.3073647351056898,103.819420889381,-1,-1,22,4
1.3394520043632,103.70668501265499,-1,-1,5,7
1.28412271103558,103.852544637414,6,25,25,13
1.32114833412885,103.742791775665,-1,-1,6,26
